provice,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Beijing,107,114,128,133,137,132,145,163,199,193,192,176,193,170,165,159,166,171,132,104,96
Tianjin,23,23,21,29,31,38,43,51,59,58,71,74,46,50,60,59,66,75,83,60,61
Hebei,230,258,272,287,326,333,396,466,522,525,687,725,644,807,936,1460,1492,1457,1216,1035,1123
Shanxi,183,202,203,205,172,223,239,277,341,328,334,338,233,300,394,471,546,552,519,406,413
Inner Mongolia,24,28,30,34,39,42,43,57,78,99,8,186,390,317,387,582,579,619,611,556,601
Liaoning,175,187,174,177,203,214,220,249,256,273,281,488,461,489,485,556,566,624,598,469,412
Jilin,84,88,90,93,108,126,124,156,185,239,123,317,276,352,392,517,589,620,672,603,502
Heilongjiang,95,104,112,126,135,141,141,163,171,178,222,233,231,301,409,439,397,408,369,309,336
Shanghai,33,25,25,19,24,32,26,56,73,78,86,73,57,51,44,44,41,39,35,22,21
Jiangsu,371,376,368,413,435,488,564,729,824,901,995,1112,1149,1028,1095,1078,1061,1138,1222,1131,1130
Zhejiang,317,312,319,349,392,434,523,653,800,827,861,1084,1194,1257,1309,1292,1215,1318,1301,1187,1137
Anhui,341,353,302,330,296,362,368,469,532,511,612,706,522,1113,1258,1468,1613,1798,1900,1933,1988
Fujian,149,153,150,186,154,177,171,241,241,280,392,559,553,573,618,720,716,785,766,767,798
Jiangxi,100,100,111,127,142,153,188,240,296,352,411,506,494,704,715,902,1023,1255,1329,1276,1289
Shandong,736,775,736,801,884,967,1099,1319,1720,1914,1373,1483,1580,1528,1571,2057,1873,1980,2003,1845,1955
Henan,249,280,322,316,310,384,369,387,436,531,511,750,730,995,977,1255,1202,1363,1397,1344,1263
Hubei,188,224,248,239,267,299,316,368,390,479,439,452,503,737,943,1053,1212,1298,1332,1300,1353
Hunan,242,236,255,246,260,294,294,334,363,399,604,728,727,905,1039,1184,1369,1474,1575,1510,1582
Guangdong,578,572,579,631,662,667,829,835,857,912,1018,1134,1083,963,1101,1068,895,1052,1152,1130,1173
Guangxi,157,156,169,172,184,176,198,219,230,272,269,304,277,380,440,537,740,813,795,824,890
Hainan,39,40,49,62,68,67,75,85,91,95,53,54,44,81,110,122,136,163,175,181,181
Chongqing,125,159,195,197,231,275,285,330,325,360,372,401,580,656,832,861,1110,1235,1336,1363,1353
Sichuan,327,256,275,286,306,344,360,442,422,487,488,970,794,912,1290,1480,1351,1408,1468,1411,1464
Guizhou,52,64,58,73,80,121,113,160,145,170,265,239,250,274,391,483,801,977,1137,1177,1279
Yunnan,152,180,214,220,206,219,230,275,310,379,328,229,189,354,408,218,357,409,430,420,494
Tibet,2,3,3,3,4,4,5,10,8,10,34,31,31,27,32,35,41,43,49,67,89
Shaanxi,87,112,85,96,97,143,128,176,195,208,296,364,427,418,509,570,647,733,774,725,614
Gansu,57,59,64,70,72,88,107,114,131,139,176,179,169,205,273,316,373,455,504,486,473
Qinghai,12,13,17,20,21,29,44,51,57,62,49,57,41,62,82,90,69,91,92,87,93
Ningxia,39,44,56,60,68,76,90,118,140,136,89,164,142,155,205,178,183,220,204,198,224
Xinjiang,67,76,89,99,110,119,120,137,147,151,171,187,203,252,305,325,490,593,576,485,482
